Name,Image URL,IMDB Bio Link,Birth Date,Birth Year,Birth Place,About,Height,Alternative Names,Nickname,Trademark,Star Sign
Feroz Khan,"https://m.media-amazon.com/images/M/MV5BN2NjODM2NDItYTU0Ni00MzJmLWJkZTYtMjQ3ZDZjZmNjY2NhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451211/bio,September 25,1939,"Bangalore, Kingdom of Mysore, British India","Firoz was born in Bangalore on September 25, 1939 to a Pathan father, Sadiq, and an Iranian mother, Fatima. He has three brothers, Abbas alias Sanjay, Akbar, and Sameer. Both Sanjay and Akbar are actors within their own rights, while Sameer is a film-maker and assists in their Golden Palms Spa located in Bangalore. He made his entry on the silver ... Read more from IMDB Bio Link",6' (1.83 m),"Feeroz,Feroze,Feroze Khan,Firoz Khan,Khan Saab",,,Libra
Guru Dutt,"https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjEwN15BMl5BanBnXkFtZTgwODQ1NDQzNzE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0244870/bio,July 9,1925,"Bangalore, Kingdom of Mysore, British India","Considered to be a man ahead of his time, Guru Dutt was one of the greatest icons of commercial Indian cinema. Although he made less than fifty films, they are believed to be the best to come from Bollywood's Golden Age, known both for their ability to reach out to the common man and for their artistic and lyrical content, and they went on to ... Read more from IMDB Bio Link",,"Late Guru Dutt 'Dada',my Guru,Gurudutt,Guru",,Revolutionized the close-up shot and used it in all of his films.,Cancer
Farida Jalal,"https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0416077/bio,March 14,1949,"New Delhi, India","Farida Jalal was discovered by Filmfare's United Producers' Talent Hunt in the 1960s. She starred in her first movie as a teenager, in the Rajshri Productions' ""TAQDEER' in 1967. Thereafter she has starred in more than 200 movies as a character actress mainly, but also as lead actor in some. She is known as Bollywood's all time Favourite Mother. ... Read more from IMDB Bio Link","5' 1"" (1.55 m)","Farida Tabrez Barnavar,Baby Farida",,,Pisces
Farhan Akhtar,"https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1027719/bio,January 9,1974,"Mumbai, India","An accomplished and award-winning producer-director-writer-actor-singer, Farhan Akhtar is the ultimate Bollywood multi-hyphenate. Born in 1974 to prolific Indian film writer and poet,","5' 7"" (1.7 m)",,,Works frequently with the producer and a friend in personal life,Capricorn
Farooq Shaikh,"https://m.media-amazon.com/images/M/MV5BNzY3ODZmNDctZDA0ZC00NGNmLTgzZmItM2JhMTI4MzM3NTU2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0787582/bio,March 25,1948,"Amroli, State of Bombay, India","Farooq Sheikh was an Indian actor, philanthropist and a television presenter. He was known for his work in Hindi films from 1977 to 1989. He returned to acting in films in 2008. His major contribution was in Parallel Cinema or the New Indian Cinema. He's acted in serials and shows on television and has performed on stage in famous productions like... Read more from IMDB Bio Link",,"Farooque Shaikh,Farouque Shaikh,Farooque Sheikh,Farouque Sheikh,Faruque Sheikh",,,Aries
Neeraj Kabi,"https://m.media-amazon.com/images/M/MV5BZTJlZWZiMmUtNTQ0MS00NzliLWI3YjAtNzhiNjVhNWQ2MDExXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm4173131/bio,,,,"Neeraj is a multiple award winning film and theater actor, best known for his powerful performances in Ship of Theseus and Talvar. He won the Best Actor Awards at the Sakhalin International Film Festival in 2014 and the NBC Newsmakers Achievers' Awards in 2015. Neeraj is the owner of the renowned theater group Pravah, which he founded in 1996. ... Read more from IMDB Bio Link",,,,,
Dilip Kumar,"https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY317_CR102,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0474801/bio,December 11,1922,"Peshawar, North-West Frontier Province, British India","Dilip Kumar is considered to be one of the greatest actors of Indian cinema. Starting his career in 1944, he has starred in some of the biggest commercially successful films in the period 1949-1961. . He was the first actor to receive a Filmfare Best Actor Award and holds the record for most number of Filmfare Awards won for that category. Though ... Read more from IMDB Bio Link","5' 8¼"" (1.74 m)","Yusuf Khan,Mr. Dilip Kumar,Shri Dilip Kumar",Legendary Khan,"His deep, rich voice",Sagittarius
Navin Nischol,"https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0632615/bio,March 18,1946,"Lahore, Punjab, British India","Navin Nischol was born on March 18, 1946 in Lahore, Punjab, British India. He was an actor, known for",,"Naveen Nischal,Navin Nischal,navin Nischal,Navin Nishcal,Navin Nishchal,Navin Nishchol",,,Pisces
Nutan,"https://m.media-amazon.com/images/M/MV5BMTM0MDI4NDIzOV5BMl5BanBnXkFtZTcwNDY1NTAzMQ@@._V1_UY317_CR10,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0638295/bio,June 4,1936,"Bombay, Bombay Presidency, British India",Nutan Samarth was born on June 4 1936 to poet Kumarsen Samarth and his actress wife 'Shobhana' as the eldest of their four children (a younger sister is the actress,"5' 4"" (1.63 m)",Nutan Rajnish Behl,,,Gemini
Nirupa Roy,"https://m.media-amazon.com/images/M/MV5BNGYxMTdjY2MtMDkzYS00ZGJlLTljZTgtYjlhZGVhYTNhMTE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0747131/bio,January 4,1931,"Valsad, Bombay Presidency, British India","Kokila was born on January 4, 1931 in Valsad, Gujarat, India, in the Gujarati-speaking Balsara family. She was married to Kamal Roy at a very young age, and shortly thereafter in 1946 both husband and wife decided to make a career on the silver screen. They traveled to Bombay, both applied, but only Kokila was chosen to act in a Gujarati movie, ... Read more from IMDB Bio Link","5' 3"" (1.6 m)",Nirupa,,,Capricorn
Nargis,"https://m.media-amazon.com/images/M/MV5BMTY1NzE0ODkzNl5BMl5BanBnXkFtZTcwMDQ2OTAzMQ@@._V1_UY317_CR7,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004291/bio,June 1,1929,"Calcutta, Bengal Presidency, British India","She was born on June 1, 1929 as Fatima Rashid in Rawalpindi, British India, daughter to Jaddanbai and Uttamchand Mohanchand, a former Hindu Mohyal Brahmin who converted to Islam as Abdul Rashid. Her mother was a well-known dancer, singer, actor, composer, and director. This is what paved the way for Fatima to become a child artiste (Baby Nargis) ... Read more from IMDB Bio Link",,"Nargis Dutt,Baby Rani,Fatima Mohanchand Uttamchand",Baby Nargis,White Sari,Gemini
Nandita Das,"https://m.media-amazon.com/images/M/MV5BMTA2NzUwMTAxMDBeQTJeQWpwZ15BbWU4MDQ0MTEyNTEx._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0201903/bio,November 7,1969,"Delhi, India","Nandita Das was born on November 7, 1969 in Delhi, India. She is known for her work on",,,,,Scorpio
Nana Patekar,"https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0007113/bio,January 1,1951,"Murud-Janjira, State of Bombay, India","Vishwanath Patekar (born on January 1, 1951 in Murud-Janjira, Maharashtra, India) is an actor, writer and filmmaker. He is known for his work on","5' 7"" (1.7 m)",,Nana,,Capricorn
Nagarjuna Akkineni,"https://m.media-amazon.com/images/M/MV5BMDE5ZTgzN2QtODQzMi00NzYxLWI3ZmMtMzAxNWM0OGM1YjM0XkEyXkFqcGdeQXVyNzc4NzEwNTc@._V1_UY317_CR123,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0015459/bio,August 29,1959,"Madras, Madras State, India","Nagarjuna did his schooling at Hyderabad Public School and later went to Little Flower Junior College to do his intermediate. After that, he went on to do mechanical engineering at the University of Michigan, Ann Arbor, MI and later got a masters degree in automobile engineering at San Jose State University.","5' 10"" (1.78 m)","Nagaarjuna,Nagarjuna","""Yuva Samrat""",,Virgo
Nawazuddin Siddiqui,"https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1596350/bio,May 19,1974,"Budhana, Muzaffarnagar, Uttar Pradesh, India","Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012). Early life and education Nawazuddin Siddiqui is from Budhana a small town... Read more from IMDB Bio Link","5' 2"" (1.58 m)","Nawazuddin,Novaz,Nowaz,Nawazuddin Siddique,Nawaz Uddin",,,Taurus
Naseeruddin Shah,"https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0787462/bio,July 20,1950,"Barabanki, Uttar Pradesh, India","Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for","5' 10"" (1.78 m)","Naseer-ud-Din Shah,Nasiruddin Shah,Nasrudin Shah",,,Cancer
Manoj Kumar,"https://m.media-amazon.com/images/M/MV5BMzUxNTM4MzQ4N15BMl5BanBnXkFtZTgwMjY1ODA0OTE@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0006370/bio,July 24,1937,"Abbottabad, North-West Frontier Province, British India","Manoj Kumar was born on July 24, 1937 in Abbottabad, North-West Frontier Province, British India as Harikishen Giri Goswami. He is an actor and writer, known for","6' 1"" (1.85 m)",Manoj,Bharat Kumar,,Leo
Mukul Dev,"https://m.media-amazon.com/images/M/MV5BODhjYmUzZTctNWY3Yy00ZDBmLTk0NzEtMzg3YzlhYzA0NGI2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0222143/bio,November 30,1970,"Delhi, India","Mukul Dev was born on November 30, 1970 in Delhi, India. He is an actor and writer, known for","5' 7¾"" (1.72 m)",Muks,,,Sagittarius
Nassar,"https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0621937/bio,March 5,1958,"Chengalpattu, Madras State, India",Nassar is one of the most acclaimed actors in India. He is the current president of South Indian Actors Association. Nassar is well known for,"5' 5"" (1.65 m)","Naseer,Nasir,M. Nasser,Nasser,Nazar,Nazir",,,Pisces
Madhubala,"https://m.media-amazon.com/images/M/MV5BMTI4MTAzMzc2MV5BMl5BanBnXkFtZTcwMDkyNDAzMQ@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0534870/bio,February 14,1933,"Delhi, British India","Arguably the most beautiful artiste to ever grace the Indian screen, Madhubala rose from humble beginnings to become the most captivating star India has ever produced. Madhubala was born Mumtaz Jehan Begum on Valentine's Day 1933, in a poor, conservative family of Pathan Muslims in Delhi, a part of a prolific brood of sisters, and entered the world... Read more from IMDB Bio Link","5' 4"" (1.63 m)","Madhu Bala,Baby Mumtaz,Mumtaz",Venus Queen,,Aquarius
Meena Kumari,"https://m.media-amazon.com/images/M/MV5BMTM2NjQ1Nzg2N15BMl5BanBnXkFtZTcwNDkyNjAzMQ@@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0474932/bio,August 1,1933,"Bombay, Bombay Presidency, India","Born 1933 into a poor Parsee theatre family of Ali Bux and dancer Iqbal begum in Bombay, Maharashtra, India. Entered films to support family in difficult times. She was six when hired for","5' 3"" (1.6 m)","Baby Meena,Meenaji,Meenakumari,Meena",Manju,,Leo
Mala Sinha,"https://m.media-amazon.com/images/M/MV5BMWUyNzlkMDEtMGY4My00M2QwLWEzYjktMzk1YjliNDhiYzc5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0802366/bio,November 11,1936,"Calcutta, Bengal Presidency, British India","Mala Sinha was born on November 11, 1936 in Calcutta, Bengal Presidency, British India as Alda Sinha. She is known for her work on","5' 2"" (1.57 m)","Malasinha,Mala",,,Scorpio
Manoj Pahwa,"https://m.media-amazon.com/images/M/MV5BMDM4MTY3YzAtYmJlMC00YjdjLTg4YzgtZTJiMzI5NzJjODg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0656644/bio,,,,"Manoj Pahwa is an actor, known for",,"Manoj Pahawa,Manoj Pawa,Manoj Pawha",,,
Mithun Chakraborty,"https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0149822/bio,June 16,1947,"Barisal, Bengal Presidency, British India","Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti. He is an actor, known for","5' 9"" (1.75 m)","Mithun Chakarborti,Mithun Chakraborthy,Mittun Chakraborthy,Mithun Chakravarty,Mittun Chakravarty,Mithun Chakravorty,Mithun Chakrobarthy,Mithun Chakrobarty,Grandmaster Mithunda",Mithunda,,Gemini
Mita Vasisht,"https://m.media-amazon.com/images/M/MV5BNGQ4YjkyMzMtM2E4OS00YmMzLWEyY2YtYjY0ZmUzYmEzNzFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0890622/bio,November 2,1967,"Pune, Maharashtra, India","Mita Vashisht is an Indian television, film and theater actress, who graduated from National School of Drama, New Delhi in 1987. She was born in Pune, Maharashtra, India to Rajeshwar Dutt Vasisht, a retired Colonel in the Indian Army and Meenakshi Mehta Vasisht, a teacher and musician. She had her post-graduate in literature from Punjab University, ... Read more from IMDB Bio Link",,"Meeta Vashisht,Mita Vashisht,Meeta Vashishta,Mita Vashist,Meeta Vasisht,Mita Vasishth",,,Scorpio
Manoj Bajpayee,"https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0048075/bio,April 23,1969,"Belwa, Bihar, India","Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on","5' 7"" (1.7 m)","Manoj Bajpai,Manoj Vajpayee",,Often plays man of rural background with strong moral values,Taurus
Mohnish Bahl,"https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0046894/bio,February 14,1963,"Bombay, Maharashtra, India","Mohnish Bahl was born on February 14, 1963 in Bombay, Maharashtra, India. He is known for his work on","5' 8"" (1.73 m)","Mohnish Bahel,Mohnish Behal,Mohanish Behl,Mohinish Behl,Mohnish Behl,Monish Behl,Monnish Behl",,,Aquarius
Manoj Joshi,"https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1259084/bio,,,,"Manoj Joshi is an India film and television actor. Joshi began his career in Marathi theatre, also putting up performances in Gujarati and Hindi theatre. He has also acted in over 60 films since 1998, many of his roles being comedic. His earliest well known serials include Chanakya, Ek Mahal Ho Sapno Ka, Rau (Marathi), Sangdil, Kabhi Souten Kabhi ... Read more from IMDB Bio Link",,,,,
Mukesh Khanna,"https://m.media-amazon.com/images/M/MV5BMTYwNTk2MTk4MF5BMl5BanBnXkFtZTgwODQ1ODA0OTE@._V1_UY317_CR136,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451383/bio,July 19,1958,"Bombay, State of Bombay, India","Mukesh Khanna was born on July 19, 1958 in Bombay, State of Bombay, India. He is an actor and producer, known for",,,,,Cancer
Madhavan,"https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0534856/bio,June 1,1970,"Jamshedpur, Bihar, India","Madhavan was born on June 1, 1970, in a Tamil-speaking family. At the age of 18 his college entrusted him with the responsibility of representing India as a Cultural Ambassador to Canada. A year later he and three others from his college were sent to Britain as army cadets and received training in the royal army, navy, and Air Force. While conducting... Read more from IMDB Bio Link","5' 8"" (1.73 m)","R. Madevan,R. Madhavan,R.Madhavan",Maddy,,Gemini
Madhuri Dixit,"https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0002043/bio,May 15,1967,"Bombay, Maharashtra, India","Madhuri Dixit is one of the most acclaimed actors and Kathak dancers Bollywood have ever witnessed. Born in a Marathi Brahmin Koknastha family to Mr. Shankar and Mrs. Snehlata, Madhuri Dixit has two sisters Rupa, Bharti, and brother Ajit. She performed decently well in her academics and aspired to become a Microbiologist which made her pursue the ... Read more from IMDB Bio Link","5' 2½"" (1.58 m)","Madhuri Dixit-Nene,Madhuri",Bubbly,,Taurus
Makrand Deshpande,"https://m.media-amazon.com/images/M/MV5BNDcyOGU3ODctZjZiZi00OWY1LWEzYjktOTIxNTUwMTAyODMzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0221218/bio,July 3,1958,India,"Makrand Deshpande was born on July 3, 1958 in India. He is an actor and writer, known for",,"Mac Deshpanday,Makarand Vinayak Deshpande,Makarand Deshpande,Makrandh Deshpandey",,,Cancer
Zarina Wahab,"https://m.media-amazon.com/images/M/MV5BNDZhNzNiY2UtYzRkOS00N2IzLWFmNDctZTNkNTVkODZkZjEwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0906226/bio,,,,"Zarina Wahab is an actress, known for",,,,,
Zohra Sehgal,"https://m.media-amazon.com/images/M/MV5BMzA0NDAzZjAtOTFhMi00N2RiLWIxOWUtMTBkY2U0YjI3ZDU2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR47,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0782247/bio,April 27,1912,"Saharanpur, Uttar Pradesh, India","Sahibzadi Zohra Begum Mumtaz-ullah Khan, better known as Zohra Sehgal, was born into a Sunni Muslim Rohilla Pathan family of Rampur, Uttar Pradesh, on 27th April, 1912 in Rampur, Uttar Pradesh, India. However, unlike most other children of traditional households, Zohra Sehgal was a tomboy, who enjoyed climbing trees and playing games. Always ... Read more from IMDB Bio Link",,"Zhora Saigal,Zohra Saigal,Zohra Segal,Zora Seghal",,,Taurus
Yashpal Sharma,"https://m.media-amazon.com/images/M/MV5BMzczOGQwZDMtYWQxYi00NDZhLTlkNWYtMjVkMzhlODcyZmU4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1004985/bio,August 9,1970,"Hisar, Haryana, India","Yashpal Sharma was born on August 9, 1970 in Hisar, Haryana, India. He is an actor and casting director, known for",,Yash Paul Sharma,,,Leo
